LGA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,4381,3364,1626,540,27703
LGA10180,2539,1935,1159,396,15646
LGA10250,4634,4311,2073,834,25152
LGA10300,160,117,35,9,879
LGA10470,3615,2678,1288,446,22176
LGA10500,10892,6572,3384,1483,98633
LGA10550,4286,3891,1659,569,19191
LGA10600,1650,1408,588,163,7282
LGA10650,753,764,402,175,4067
LGA10750,22424,13569,5203,1681,191248
LGA10800,415,293,157,64,2405
LGA10850,665,493,226,57,3599
LGA10900,8842,7612,3385,1048,45722
LGA10950,182,92,72,28,1036
LGA11150,154,97,43,10,1050
LGA11200,94,52,13,3,496
LGA11250,1397,994,457,215,7621
LGA11300,2709,1652,884,523,23547
LGA11350,3908,3196,984,286,21798
LGA11400,1317,915,441,122,6686
LGA11450,6058,3642,1468,537,55385
LGA11500,10927,7319,2945,805,79548
LGA11520,7634,5239,2381,949,54301
LGA11570,21707,12398,6146,3114,166569
LGA11600,193,117,37,15,1243
LGA11650,29219,23537,13011,5094,174231
LGA11700,138,97,41,3,729
LGA11720,4460,3320,1321,397,28983
LGA11730,5216,4604,2090,701,26639
LGA11750,307,181,78,21,1843
LGA11800,7002,6093,2934,1088,40076
LGA12000,341,286,117,41,1909
LGA12150,262,168,98,27,1499
LGA12160,931,892,475,132,5065
LGA12350,1028,998,440,133,5751
LGA12380,11714,6783,3177,1260,108910
LGA12390,4010,2691,1414,481,26745
LGA12700,981,725,293,64,4739
LGA12730,747,500,276,95,3862
LGA12750,4762,4923,2253,768,22016
LGA12850,10254,6687,3086,1374,71898
LGA12870,1075,1038,544,182,5882
LGA12900,706,529,325,104,4172
LGA12930,12087,7573,3777,1997,83548
LGA12950,366,254,132,44,1881
LGA13010,831,761,361,127,4274
LGA13310,2635,2100,1021,378,15754
LGA13340,1032,769,320,75,5172
LGA13450,1679,1042,506,253,11610
LGA13550,913,639,331,145,5691
LGA13660,409,302,171,45,2052
LGA13800,5510,3546,1659,533,33089
LGA13850,274,145,89,31,1227
LGA13910,1576,1247,594,162,8405
LGA14000,14920,10251,5765,2657,89891
LGA14100,1398,1178,729,522,8221
LGA14170,14950,9205,3694,1360,115841
LGA14220,1361,1090,589,161,7856
LGA14300,515,371,153,42,3304
LGA14350,2982,2563,1081,376,14843
LGA14400,2693,2638,1232,438,13846
LGA14500,13093,9097,5896,2675,74913
LGA14550,1167,901,309,109,4639
LGA14600,408,275,150,52,2439
LGA14650,18054,15058,8057,2933,109134
LGA14700,3395,2427,1299,477,25720
LGA14750,758,499,258,93,4688
LGA14850,4515,3452,1299,439,23240
LGA14870,1917,1608,775,193,10080
LGA14900,13026,6976,3061,1110,99914
LGA14920,607,519,245,60,3355
LGA14950,322,226,108,34,1496
LGA15050,6118,4214,1950,596,42308
LGA15240,9746,9992,5278,1813,48181
LGA15270,2207,1624,831,230,12460
LGA15300,1003,645,304,82,6071
LGA15350,3194,2449,1620,583,18400
LGA15520,1044,908,493,148,5826
LGA15560,266,193,73,21,1448
LGA15650,1102,656,266,83,7201
LGA15700,2269,1955,927,273,10024
LGA15750,977,621,293,105,5493
LGA15800,416,318,173,64,2364
LGA15850,465,354,222,83,2801
LGA15900,13224,9353,4508,2085,92126
LGA15950,6305,5065,2818,817,49880
LGA15990,25295,16861,10040,3919,153496
LGA16100,516,484,209,46,2809
LGA16150,3069,2466,1222,456,21278
LGA16200,1071,738,362,151,6223
LGA16260,17172,10985,5259,1920,152439
LGA16350,13156,8438,3462,1193,99891
LGA16380,8114,7744,4290,1620,44734
LGA16400,7037,6421,3399,865,37361
LGA16490,5509,3221,1257,302,33644
LGA16550,10601,6905,3653,1705,82807
LGA16610,1910,1626,769,289,10482
LGA16700,10272,6608,3165,1516,79402
LGA16900,5746,4113,1835,750,36368
LGA16950,10752,10036,4932,1531,56419
LGA17000,1889,1106,426,108,11551
LGA17040,2214,1481,697,206,11649
LGA17080,1299,939,513,161,6771
LGA17100,2937,1769,884,359,27686
LGA17150,20643,14703,7479,3196,127369
LGA17200,13561,8635,3624,1129,155510
LGA17310,4612,3617,1936,639,29249
LGA17350,467,434,199,79,2608
LGA17400,716,735,275,66,3228
LGA17420,15891,11140,4976,1438,106451
LGA17550,9252,7758,4089,1866,50312
LGA17620,1130,835,396,167,6542
LGA17640,971,718,324,83,4282
LGA17650,638,514,212,50,3104
LGA17750,4821,3463,1601,688,32616
LGA17850,278,272,137,33,1450
LGA17900,514,389,170,45,2608
LGA17950,201,126,82,49,1069
LGA18020,801,766,385,144,4290
LGA18050,5018,3437,1851,834,45911
LGA18100,317,276,156,56,1636
LGA18200,612,430,194,51,3388
LGA18250,6566,4632,2261,1075,46417
LGA18350,5292,5318,3231,1077,29558
LGA18400,3897,2787,1163,379,25716
LGA18450,17405,12215,6164,2381,112187
LGA18500,5158,4357,2701,1136,35477
LGA18710,1654,1215,531,147,9120
LGA19399,96,71,34,5,497
LGA19499,1165,680,173,28,7237
LGA19799,0,0,0,0,0
LGA20110,1405,1185,552,165,7208
LGA20260,1002,802,387,116,5326
LGA20570,8198,6612,3211,1211,56552
LGA20660,10403,7767,3899,1352,70544
LGA20740,4245,4145,1888,585,21286
