GCCSA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1GSYD,70501,48514,62635,55820,47481,39219,27994,19242,13947,385349,963205,637826,811314,777748,667167,579166,439467,249517,105729,5231147
1RNSW,50926,32873,32504,31701,32421,32258,26560,17173,9093,265502,505534,314893,328523,323565,348104,380961,348204,201734,78115,2829637
19499,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,63319,44189,57986,49639,43722,35101,25280,16506,9583,345341,891585,603243,788689,735102,629107,529975,405027,234998,100021,4917750
2RVIC,26513,16393,16851,16914,17806,18026,15875,9940,5248,143560,276727,169167,184984,181883,196379,215485,199919,109653,42424,1576613
29499,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
29799,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
3GBRI,37118,26587,30545,27054,24023,18199,12791,7846,4805,188976,484145,331761,374070,360339,329053,273801,214163,116022,42879,2526238
3RQLD,48051,33656,37544,35157,36198,32122,23469,13944,6445,266587,478735,303971,324954,325336,343100,339019,287170,158531,54209,2615036
39499,255,435,800,739,648,553,354,67,9,3862,1437,1495,2649,2077,1929,2468,2124,444,44,14670
39799,0,14,37,47,34,8,0,0,0,133,0,16,49,64,45,5,3,0,0,183
4GADE,15278,11121,11872,11428,11336,10073,7378,4826,2729,86038,237535,169352,193712,184652,175064,168406,140746,81558,36258,1387290
4RSAU,6125,3819,4266,4294,4831,5033,4249,2646,1198,36453,65200,38583,40951,41473,49086,58227,55238,31032,11053,390843
49499,84,79,166,178,144,138,77,11,0,882,409,394,627,534,478,513,359,64,11,3377
49799,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
5GPER,27547,19933,25888,24260,22058,17420,11828,7550,4694,161177,401240,255946,303907,306917,274565,240188,189951,103099,40831,2116647
5RWAU,13067,7713,10375,10275,10088,8866,5858,3053,1148,70437,103769,55267,66822,70860,72266,72050,56655,27867,9237,534804
59499,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
59799,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
6GHOB,3238,2245,2724,2282,2191,1972,1596,1027,445,17721,41578,28141,39761,31656,29653,29934,26145,14594,5631,247086
6RTAS,4545,2989,2864,2826,3189,3490,3056,1813,782,25565,50926,32736,36669,34094,39338,45251,40695,22020,7361,309087
69499,18,41,49,54,42,68,75,6,0,357,129,215,228,198,203,199,163,31,3,1377
69799,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
7GDAR,2947,2046,3166,2653,2232,1607,942,359,125,16079,28294,16701,25950,22108,18400,14637,9374,3608,833,139902
7RNTE,2320,1497,2195,1716,1433,1237,643,202,35,11272,20154,12980,16263,13120,10954,8995,4809,1499,326,89103
79499,74,97,193,168,213,186,79,12,0,1017,446,276,661,573,591,579,318,49,7,3500
79799,0,0,6,4,5,3,0,0,0,24,0,15,23,22,19,17,0,0,0,99
8ACTE,4786,4587,4839,3787,3175,2471,1914,1080,530,27163,82892,60460,77634,69285,56126,45328,35639,19340,7180,453890
89499,7,21,17,35,22,22,11,0,0,138,50,148,108,104,77,78,34,10,4,605
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,128,92,218,157,139,113,84,53,6,978,825,407,577,638,665,765,587,257,62,4778
99499,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
